20	20	21	7	1	1	4	12	0	19	17	2	12	19	17	30	38	27	25	27	
18	13	17	0	12	12	2	12	0	19	17	2	12	19	17	12	30	33	33	33	
4	19	17	0	12	12	10	1	9	19	17	10	4	19	15	20	20	20	20	20	
2	19	17	0	12	12	12	12	12	19	15	21	2	23	18	18	18	18	18	18	
2	19	17	6	3	3	3	8	12	23	13	17	10	1	1	1	1	1	4	12	
2	19	17	12	12	12	12	0	12	12	19	15	20	20	20	20	20	21	2	12	
5	19	17	7	1	4	12	6	8	12	23	18	18	18	18	18	13	17	10	4	
12	19	17	0	12	2	12	12	6	3	3	8	12	11	3	8	19	17	12	10	
12	19	17	6	3	5	24	20	20	20	21	6	3	5	12	0	19	15	20	20	
4	19	15	21	12	12	19	16	18	13	17	12	12	12	12	0	23	18	18	18	
2	23	13	17	12	12	19	17	12	19	15	21	12	12	12	6	3	3	3	3	
10	4	19	17	12	12	19	17	12	23	13	15	20	20	20	20	20	20	20	21	
12	2	19	17	12	12	19	17	12	12	23	18	18	18	18	18	18	18	13	15	
11	5	19	15	20	20	14	17	12	12	31	35	35	35	35	35	28	12	23	18	
2	12	23	18	18	18	18	22	31	35	39	25	26	25	27	25	36	28	12	12	
5	12	12	12	12	12	12	31	39	25	25	26	37	33	33	38	25	32	12	12	
21	31	35	28	12	12	31	39	26	37	33	33	29	12	12	34	25	32	24	20	
17	34	26	32	12	12	34	26	25	32	12	12	12	31	35	39	26	32	19	16	
17	30	33	29	12	12	30	33	33	29	12	31	35	39	26	25	25	32	19	17	
17	12	12	12	12	12	12	24	20	20	21	34	27	25	25	25	26	32	19	17	
