23	18	22	12	19	17	12	19	17	34	26	32	12	12	12	12	19	17	2	12	
11	3	3	8	19	17	12	19	17	34	25	32	24	20	20	20	14	17	2	12	
2	12	12	0	19	17	12	19	17	30	33	29	19	16	18	18	18	22	10	1	
5	12	7	9	19	17	12	19	15	20	20	20	14	17	11	3	8	12	12	12	
12	12	0	12	19	17	12	23	18	18	18	18	18	22	2	12	6	3	3	8	
12	12	6	8	19	17	12	12	12	12	12	12	12	12	2	12	12	12	12	6	
4	12	12	0	19	17	12	12	12	12	12	12	12	11	5	24	20	20	20	20	
2	12	12	0	19	17	11	3	8	12	12	12	11	5	12	19	16	18	18	18	
10	1	1	9	19	17	2	12	6	3	3	3	5	12	12	19	17	7	1	1	
12	12	12	12	19	17	2	24	20	20	20	20	20	20	20	14	17	0	12	12	
20	20	20	20	14	17	2	19	16	18	18	18	18	18	18	18	22	6	8	12	
18	18	18	18	18	22	2	19	17	12	12	12	31	35	35	35	28	12	0	12	
12	12	12	11	3	3	5	19	17	12	12	12	34	25	26	25	32	12	6	3	
20	21	12	2	12	24	20	14	17	12	12	12	34	25	25	37	29	12	12	12	
13	17	11	5	12	19	16	18	22	12	12	12	34	25	37	29	12	11	3	8	
19	17	2	24	20	14	17	12	12	12	12	12	30	33	29	12	11	5	12	0	
19	17	2	19	16	18	22	12	12	24	20	20	20	20	21	11	5	12	12	6	
19	17	2	19	17	12	7	1	4	19	16	18	18	13	17	2	12	24	20	20	
19	17	2	19	17	7	9	12	2	19	17	12	12	19	17	2	24	14	16	18	
19	17	2	19	17	0	12	12	2	19	17	12	12	19	17	2	19	16	22	7	
