12	19	17	6	8	12	12	12	12	11	3	5	12	12	19	17	11	5	12	0	
28	19	17	12	0	12	11	3	3	5	12	12	12	12	19	17	2	12	12	0	
32	19	17	12	0	12	2	12	12	12	12	24	20	20	14	17	10	4	12	6	
32	19	17	12	6	3	5	12	12	12	12	19	16	18	18	22	12	10	4	12	
29	19	17	12	12	12	12	7	1	4	12	19	17	11	3	8	12	12	2	12	
12	19	17	12	12	12	12	0	12	10	4	19	17	2	12	0	12	11	5	12	
28	19	17	7	1	1	1	9	12	12	2	19	17	2	12	0	12	2	12	7	
32	19	17	0	12	12	12	12	12	12	2	19	17	2	12	0	12	10	1	9	
32	19	17	0	12	11	3	8	12	11	5	19	17	10	1	9	12	12	12	12	
32	19	17	0	12	2	12	6	3	5	12	19	17	12	12	12	12	12	31	35	
32	19	17	6	3	5	12	24	20	20	20	14	17	12	31	35	28	12	34	27	
29	19	15	20	20	20	20	14	16	18	18	18	22	31	39	26	32	12	34	25	
12	23	18	18	18	18	18	18	22	12	12	12	12	34	25	37	29	12	30	33	
8	12	12	12	12	11	3	3	8	12	12	12	12	30	33	29	12	12	12	12	
0	12	12	11	3	5	12	12	0	12	12	12	12	12	12	12	31	35	35	28	
6	3	3	5	12	12	12	12	6	3	3	3	3	8	12	12	34	26	25	36	
20	20	20	21	11	3	8	24	20	20	20	21	12	6	8	12	30	33	38	26	
18	18	13	17	2	12	0	19	16	18	13	17	12	12	6	8	12	12	30	33	
35	28	19	17	10	1	9	19	17	12	19	17	12	12	12	0	12	12	12	12	
26	32	19	17	12	12	12	19	17	12	19	17	12	12	7	9	12	7	1	1	
