36	35	28	12	12	6	3	3	5	12	30	33	29	19	17	12	12	19	17	10	
27	25	36	35	28	24	20	20	20	20	20	21	12	19	17	12	12	19	15	20	
25	26	25	27	32	19	16	18	18	18	13	17	12	19	17	12	12	23	18	18	
33	33	33	33	29	19	17	12	12	12	19	15	20	14	17	31	35	35	28	12	
20	20	21	12	12	19	17	12	12	12	23	18	18	18	22	34	25	27	36	35	
18	13	17	12	12	19	17	12	12	12	12	12	12	31	35	39	25	25	27	25	
4	19	15	21	12	19	17	12	12	31	35	28	12	34	25	25	37	33	38	27	
2	23	13	17	12	19	17	12	31	39	25	36	35	39	26	25	32	12	30	38	
5	12	19	15	20	14	17	12	34	27	25	25	26	25	25	26	36	28	12	30	
12	12	23	18	18	18	22	12	34	25	27	25	37	33	38	25	25	36	28	24	
3	8	12	12	12	31	35	35	39	25	25	25	32	12	34	27	25	25	32	19	
12	6	8	12	12	34	25	25	26	25	25	25	36	35	39	25	25	27	32	19	
12	12	0	12	31	39	26	37	33	38	26	25	26	25	27	25	37	33	29	23	
12	12	0	12	34	25	25	32	12	30	33	38	25	27	25	26	32	12	12	31	
12	12	0	12	34	27	25	36	28	12	12	30	38	25	27	25	36	35	35	39	
1	1	9	12	30	33	38	27	36	35	28	12	30	33	33	38	26	25	27	25	
12	24	20	20	20	21	34	25	25	26	32	12	12	12	12	30	33	33	33	33	
4	19	16	18	13	17	30	38	27	37	29	12	7	1	4	24	20	20	20	21	
2	19	17	12	19	15	21	30	33	29	12	12	0	12	2	19	16	18	13	17	
5	19	17	12	23	13	17	12	12	12	7	1	9	12	2	19	17	12	19	17	
